pipeline,avg_retrieval_seconds,avg_generation_seconds,avg_total_seconds,pass_rate_pct
qwen25_3b + sup_simcse,0.019523333333333334,8.771616666666667,8.791213333333333,13.33
qwen25_3b + vietnamese_bi_encoder,0.020916666666666663,8.96298,8.983956666666668,36.67
qwen25_3b + multilingual_e5_base,0.02104,10.456423333333333,10.47752,66.67
qwen25_3b + bge_m3,0.051296666666666664,10.869883333333332,10.921243333333333,86.67
qwen3_4b + vietnamese_bi_encoder,0.021983333333333334,13.129523333333333,13.151556666666666,40.0
qwen3_4b + sup_simcse,0.04096333333333334,13.840440000000001,13.881463333333333,13.33
qwen3_4b + multilingual_e5_base,0.01980666666666667,15.68585,15.705710000000002,73.33
qwen3_4b + bge_m3,0.04533666666666667,16.36396,16.409366666666667,93.33
